"uyaran_baslangic","uyaran_bitis","uyaran_isim","uyaran_yazi"
"2026-03-31 17:32:45.245850","2026-03-31 17:32:49.517635","R_AR_AS.mp4","Arkadan Aşağı Hareket"
"2026-03-31 17:32:55.104803","2026-03-31 17:32:59.363964","R_AR_YU.mp4","Arkadan Yukarı Hareket"
"2026-03-31 17:33:04.898740","2026-03-31 17:33:09.147016","R_AR_SAG.mp4","Arkadan Sağ Hareket"
"2026-03-31 17:33:14.685824","2026-03-31 17:33:18.896748","R_AR_SOL.mp4","Arkadan Sol Hareket"
"2026-03-31 17:33:24.429769","2026-03-31 17:33:28.677200","R_AR_IL.mp4","Arkadan İleri Hareket"
"2026-03-31 17:33:34.172797","2026-03-31 17:33:38.392763","R_AR_GE.mp4","Arkadan Geri Hareket"
"2026-03-31 17:33:43.906822","2026-03-31 17:33:48.119762","R_ON_AS.mp4","Önden Aşağı Hareket"
"2026-03-31 17:33:53.632849","2026-03-31 17:33:57.886879","R_ON_YU.mp4","Önden Yukarı Hareket"
"2026-03-31 17:34:03.386726","2026-03-31 17:34:07.605275","R_ON_SAG.mp4","Önden Sağa Hareket"
"2026-03-31 17:34:13.116916","2026-03-31 17:34:17.332698","R_ON_SOL.mp4","Önden Sola Hareket"
"2026-03-31 17:34:22.859854","2026-03-31 17:34:27.129076","R_ON_IL.mp4","Önden İleri Hareket"
"2026-03-31 17:34:32.648852","2026-03-31 17:34:36.877440","R_ON_GE.mp4","Önden Geri Hareket"
"2026-03-31 17:34:42.382800","2026-03-31 17:34:46.603515","R_GR_AR_AC.mp4","Arkadan Kıskaç Açma Hareketi"
"2026-03-31 17:34:52.091853","2026-03-31 17:34:56.330685","R_GR_AR_KA.mp4","Arkadan Kıskaç Kapama Hareketi"
"2026-03-31 17:35:01.928817","2026-03-31 17:35:06.185089","R_GR_ON_AC.mp4","Önden Kıskaç Açma Hareketi"
"2026-03-31 17:35:11.724733","2026-03-31 17:35:15.975615","R_GR_ON_KA.mp4","Önden Kıskaç Kapama Hareketi"
"2026-03-31 17:35:21.481817","2026-03-31 17:35:25.699444","R_AR_AS.mp4","Arkadan Aşağı Hareket"
"2026-03-31 17:35:31.358710","2026-03-31 17:35:35.572874","R_AR_YU.mp4","Arkadan Yukarı Hareket"
"2026-03-31 17:35:41.071740","2026-03-31 17:35:45.303505","R_AR_SAG.mp4","Arkadan Sağ Hareket"
"2026-03-31 17:35:50.830858","2026-03-31 17:35:55.057622","R_AR_SOL.mp4","Arkadan Sol Hareket"
"2026-03-31 17:36:00.576357","2026-03-31 17:36:04.833723","R_AR_IL.mp4","Arkadan İleri Hareket"
"2026-03-31 17:36:10.308896","2026-03-31 17:36:14.572004","R_AR_GE.mp4","Arkadan Geri Hareket"
"2026-03-31 17:36:20.078710","2026-03-31 17:36:24.333043","R_ON_AS.mp4","Önden Aşağı Hareket"
"2026-03-31 17:36:29.828863","2026-03-31 17:36:34.046382","R_ON_YU.mp4","Önden Yukarı Hareket"
"2026-03-31 17:36:39.546822","2026-03-31 17:36:43.796263","R_ON_SAG.mp4","Önden Sağa Hareket"
"2026-03-31 17:36:49.280850","2026-03-31 17:36:53.532904","R_ON_SOL.mp4","Önden Sola Hareket"
"2026-03-31 17:36:59.042834","2026-03-31 17:37:03.267623","R_ON_IL.mp4","Önden İleri Hareket"
"2026-03-31 17:37:08.808867","2026-03-31 17:37:13.018667","R_ON_GE.mp4","Önden Geri Hareket"
"2026-03-31 17:37:18.572832","2026-03-31 17:37:22.827229","R_GR_AR_AC.mp4","Arkadan Kıskaç Açma Hareketi"
"2026-03-31 17:37:28.552762","2026-03-31 17:37:32.811824","R_GR_AR_KA.mp4","Arkadan Kıskaç Kapama Hareketi"
"2026-03-31 17:37:38.357748","2026-03-31 17:37:42.571604","R_GR_ON_AC.mp4","Önden Kıskaç Açma Hareketi"
"2026-03-31 17:37:48.086808","2026-03-31 17:37:52.346136","R_GR_ON_KA.mp4","Önden Kıskaç Kapama Hareketi"
"2026-03-31 17:37:57.880732","2026-03-31 17:38:02.102254","R_AR_AS.mp4","Arkadan Aşağı Hareket"
"2026-03-31 17:38:07.624936","2026-03-31 17:38:11.836696","R_AR_YU.mp4","Arkadan Yukarı Hareket"
"2026-03-31 17:38:17.377744","2026-03-31 17:38:21.586695","R_AR_SAG.mp4","Arkadan Sağ Hareket"
"2026-03-31 17:38:27.110806","2026-03-31 17:38:31.326938","R_AR_SOL.mp4","Arkadan Sol Hareket"
"2026-03-31 17:38:36.836807","2026-03-31 17:38:41.048172","R_AR_IL.mp4","Arkadan İleri Hareket"
"2026-03-31 17:38:46.565845","2026-03-31 17:38:50.778076","R_AR_GE.mp4","Arkadan Geri Hareket"
"2026-03-31 17:38:56.300860","2026-03-31 17:39:00.516610","R_ON_AS.mp4","Önden Aşağı Hareket"
"2026-03-31 17:39:06.013861","2026-03-31 17:39:10.227950","R_ON_YU.mp4","Önden Yukarı Hareket"
"2026-03-31 17:39:15.767865","2026-03-31 17:39:20.017353","R_ON_SAG.mp4","Önden Sağa Hareket"
"2026-03-31 17:39:25.521794","2026-03-31 17:39:29.736894","R_ON_SOL.mp4","Önden Sola Hareket"
"2026-03-31 17:39:35.250746","2026-03-31 17:39:39.472303","R_ON_IL.mp4","Önden İleri Hareket"
"2026-03-31 17:39:45.082818","2026-03-31 17:39:49.296505","R_ON_GE.mp4","Önden Geri Hareket"
"2026-03-31 17:39:55.460814","2026-03-31 17:39:59.701911","R_GR_AR_AC.mp4","Arkadan Kıskaç Açma Hareketi"
"2026-03-31 17:40:05.243820","2026-03-31 17:40:09.456612","R_GR_AR_KA.mp4","Arkadan Kıskaç Kapama Hareketi"
"2026-03-31 17:40:15.007700","2026-03-31 17:40:19.256846","R_GR_ON_AC.mp4","Önden Kıskaç Açma Hareketi"
"2026-03-31 17:40:24.753766","2026-03-31 17:40:28.974799","R_GR_ON_KA.mp4","Önden Kıskaç Kapama Hareketi"
"2026-03-31 17:40:34.479687","2026-03-31 17:40:38.695257","R_AR_AS.mp4","Arkadan Aşağı Hareket"
"2026-03-31 17:40:44.207856","2026-03-31 17:40:48.416326","R_AR_YU.mp4","Arkadan Yukarı Hareket"
"2026-03-31 17:40:53.915850","2026-03-31 17:40:58.137528","R_AR_SAG.mp4","Arkadan Sağ Hareket"
"2026-03-31 17:41:03.627837","2026-03-31 17:41:07.837105","R_AR_SOL.mp4","Arkadan Sol Hareket"
"2026-03-31 17:41:13.325820","2026-03-31 17:41:17.587945","R_AR_IL.mp4","Arkadan İleri Hareket"
"2026-03-31 17:41:23.163859","2026-03-31 17:41:27.421396","R_AR_GE.mp4","Arkadan Geri Hareket"
"2026-03-31 17:41:32.973813","2026-03-31 17:41:37.196844","R_ON_AS.mp4","Önden Aşağı Hareket"
"2026-03-31 17:41:42.720840","2026-03-31 17:41:46.948075","R_ON_YU.mp4","Önden Yukarı Hareket"
"2026-03-31 17:41:52.470845","2026-03-31 17:41:56.693060","R_ON_SAG.mp4","Önden Sağa Hareket"
"2026-03-31 17:42:02.643819","2026-03-31 17:42:06.858078","R_ON_SOL.mp4","Önden Sola Hareket"
"2026-03-31 17:42:12.632809","2026-03-31 17:42:16.885752","R_ON_IL.mp4","Önden İleri Hareket"
"2026-03-31 17:42:22.502861","2026-03-31 17:42:26.759482","R_ON_GE.mp4","Önden Geri Hareket"
"2026-03-31 17:42:32.280727","2026-03-31 17:42:36.490054","R_GR_AR_AC.mp4","Arkadan Kıskaç Açma Hareketi"
"2026-03-31 17:42:41.991803","2026-03-31 17:42:46.222286","R_GR_AR_KA.mp4","Arkadan Kıskaç Kapama Hareketi"
"2026-03-31 17:42:51.760870","2026-03-31 17:42:55.979750","R_GR_ON_AC.mp4","Önden Kıskaç Açma Hareketi"
"2026-03-31 17:43:01.525846","2026-03-31 17:43:05.737452","R_GR_ON_KA.mp4","Önden Kıskaç Kapama Hareketi"
